,author,text,likes,published_at
248,@henrycheruiyot9681,And friendship end  on 26th minute 😥😥😥,0,2023-01-21T15:19:41Z
249,@ednermwende1484,The fact that iano is cute 🥰,37,2023-01-20T13:49:30Z
250,@jasmineletishia4924,"Huyu chali ni mjinga ata alikua ashamed tens""ati niaje mnajuana aje na iano""ati eeh tunasoma nae anajua dem yangu nami najua wake ""na hajaulizwa,,,,,",0,2023-01-20T13:08:55Z
251,@MillyKenya,Mabroo na Mamorio si wazuri,0,2023-01-20T11:55:21Z
252,@lydiaajiambo8304,"The person who loves you will never cheat on you,I still blem the girl though pia boy angelenga story for the respect of their relationship 😥💔",0,2023-01-19T16:34:05Z
253,@petermonyenye3603,@ Pluto you are doing  a great job,0,2023-01-18T08:31:01Z
254,@tylagee2030,Why did she cheat on such a hunk for this 🤣🤣,0,2023-01-16T22:10:26Z
255,@jostinahsagara,Nipee number YA Iano jooh 😂😂😌♥️,0,2023-01-16T12:24:12Z
256,@akaniyoz9405,Anapiga picture kimoryo eti bna 🤪🤪😂😂😂,0,2023-01-15T08:38:52Z
257,@shakirashakira1148,Alafu hawezi apologize ka beshte yake yani hata hayuko sorry,0,2023-01-14T17:41:41Z
258,@henrykioko1178,"Beste nyoka poisonous. Bro, keep away from him n the cheat gf. The two cheats r unworthy keeping",0,2023-01-14T03:57:15Z
259,@KiamataKyu,Wah wenye tunawatch 2023 😂😂hebu nipeni likes hata Kama ni 20👆,9,2023-01-13T05:57:49Z
260,@mombasakid1426,The real Quavo 😂,0,2023-01-12T09:41:53Z
261,@alexngaomuthui,Pluto huyo c rahisi hao hawajaoana Mimi my wife niligudua anakulwa na mabeshte wangu wawili,0,2023-01-12T09:38:39Z
262,@unclemchespeaks3094,Who else noticed that boyz amepiga prac ya Forensics hapa.,0,2023-01-11T23:30:36Z
263,@Lee4Biwott,"Bros nowdays be loosing their codes, i mean tf is this bruh",0,2023-01-11T10:48:17Z
264,@_datboy.mickey,na pluto ueende gym hiyo kitambi hapana😂😂😂😂,1,2023-01-10T12:02:34Z
265,@_somali_icon_,He never disappoints,10,2023-01-09T21:46:55Z
266,@ericothegreat3050,"Bro code iliisha kweli. Advise to guys, waskize ngoma ya Mejja. Don't involve Mabeste wako kwa dem wako. Watakukulia mamaaa na wakuchekeshe saana.",0,2023-01-08T09:36:00Z
267,@polliequeen,I feel the pain ... Pole bro  Iano pole bro akh.. move on .. 😭😭,0,2023-01-07T18:59:28Z
268,@marynjuguna5805,woia morio usijali,0,2023-01-06T18:01:53Z
269,@denniskimathi7470,jamaa anaumwa coz dem ni mali safi😂😂😂,0,2023-01-04T11:25:58Z
270,@malcomfred4036,All the best Iyano....utampata wa kukupenda bro,9,2023-01-04T07:49:27Z
271,@malcomfred4036,"Best friends maghasia. I had one, a cousin bro to be precise ghasia gossiped behind my back Na ex's Wangu for long. Na mm hapo najua girlfriend wake Na sikutaka no yake ata. Najua malaya wake karibu kumi Na naficha white keeping bro codes  Kwa dem wake Na morio ananichomea kwangu bure. Thank God I came to know and cut off the idiot😒😒",0,2023-01-04T07:47:09Z
272,@jacklinekathambi3268,So painful i love the way Iano left in peace 😢😢.. Iano is even cuter than this NIGGA,0,2023-01-04T05:38:48Z
273,@empiredrops,"The other boy didn't like it he was like,

Achana na huyu siafu twende 🔥💯 🤟 brocode iheshimiwe joh!",0,2023-01-03T19:23:34Z
274,@janetwakio6074,But the fact is that boy is so cute than hii fala inamkulia dem🙄🙄🙄,0,2023-01-03T12:38:24Z
275,@pamelahshekinah8243,Yaani aliacha mtu mzurii akaendea this guy😂💔💔,1,2023-01-02T15:27:24Z
276,@felixmuriithi4195,Tuekee follow up ya hii manzee,0,2022-12-30T14:31:40Z
277,@felixmuriithi4195,"Iyanoo...
Tuko kimoja bro... Hakunanga beshte 😂",0,2022-12-30T14:29:38Z
278,@lexuschebet8360,Pole iano,0,2022-12-28T23:44:13Z
279,@lexuschebet8360,Iano,0,2022-12-28T23:44:04Z
280,@zeddofficial515,wewe kwevo una bahati bro...... mimi nakuchinja hadharani mbele ya Pluto........ ndio maana sipendagi mamorio,0,2022-12-28T13:14:01Z
281,@mwendwamichael51,Inauma😭,0,2022-12-27T18:36:03Z
282,@sylviaandame8310,"The yellow guy is the real and best, sijui huyo msichana ako na shida gani",0,2022-12-27T00:37:04Z
283,@tonyigwe9231,Simple thinking use the culprit phone to call the gal n listen how she will answer,0,2022-12-26T19:14:09Z
284,@damarismathia9671,That's why I don't have a best friend.,0,2022-12-26T10:08:18Z
285,@nancymonyenye9219,Sema kimeumana🙆🙆🙆,0,2022-12-25T09:19:32Z
286,@hellenkel5611,Ian is hurting 🥺🥺🥺🥺,0,2022-12-23T21:59:55Z
287,@rachelphoebh4480,Young man soma kwanza tafuta pesa dame atakuja,0,2022-12-23T17:18:11Z
288,@gloriakish6447,Aki Iano nimemfeel 💔💔💔💔,0,2022-12-23T16:28:51Z
289,@briannyaga6730,manzee quavo😅😅,0,2022-12-22T10:22:39Z
290,@marywangui3830,Pluto kwani you came to Nakuru ama hii ni place gani???,0,2022-12-21T12:11:41Z
291,@hakeemjumakeemz8115,It's so touching but dame ndio ako na makosa kuna kitu ana wasambazia.hata huyu jamaa ata chezwa,0,2022-12-21T07:50:07Z
292,@hakeemjumakeemz8115,Hawa ni waende waka pimwe kuna vile dame ana jua,0,2022-12-21T07:36:38Z
293,@lindaanne3220,Inauma waaah pole iano be strong ashindwe huyo terry.,0,2022-12-19T12:29:06Z
294,@wambuimwas,Why am I crying 😭😭 the short guy is cute even🥰🥰🥰🥰,5,2022-12-19T10:08:13Z
295,@Karanisilasa,"""Aqh bro unanfinyia dem.""....... nxawa tu😀😀😀😀😀😀😀.",0,2022-12-17T18:12:30Z
296,@marionnkatha7967,Noma!,1,2022-12-17T15:18:16Z
297,@marionnkatha7967,Noma!,0,2022-12-17T15:18:01Z
298,@brendachumo5850,Sasa si iano ata Ako handsome ...nkt...huyo mwingine ata hakai Ako na sura,0,2022-12-17T14:24:09Z
299,@filexgallas3562,the Pluto can we see uyo manzi mfala,1,2022-12-16T21:51:59Z
300,@susanmwangi455,Nipeeni number ya iano,1,2022-12-16T18:08:31Z
301,@marthanyanchama1544,Hyo boy akwereeee,0,2022-12-14T20:11:36Z
302,@khenybrown,Hao na nao kwani nimikate wakuliwe ovyo ovyo nkt!..wee acha nkae single,0,2022-12-14T14:45:21Z
303,@nicholaschege6083,Uyo dame ashaconfess her love for this guy. Why didn't he leave his guy kitambo tu and be with his friend kama ndio anapenda. Watu hutoa wapi izi guts aki,0,2022-12-12T08:00:37Z
304,@nicholaschege6083,Trust no one,0,2022-12-12T07:44:36Z
305,@lilianwambui1035,Bro pole sana mungu ako mbere akupigani kwakitu avungue mulago mbere yako na akupigani nakuombea sana kuanaimani isala 45 1++2,0,2022-12-10T19:53:01Z
306,@yvonnejudie3969,Pluto siufike masinde muliro campus ady😂,0,2022-12-10T13:43:27Z
307,@yvonnejudie3969,Pluto siufike masinde muliro campus ady😂,1,2022-12-10T13:43:17Z
308,@kenyanmemes5974,Venye niliskia tu Thika nikajua it's about to go down 😂😂😂,2,2022-12-10T13:35:51Z
309,@footballfave1877,"Mejja alisema ""...stori ya mabeshte weka kando,kwanza mabeshte A1 Kaa ridho,mabeshte ndio kikulacho....""",1,2022-12-10T08:17:03Z
310,@winchellngatia9701,Shit happens but happened to me 🤣🤣🤣 after I met my cousin with my bf,3,2022-12-09T10:51:07Z
311,@DRACO254,Ma nigga we in tha trenches bana F them hoes sai we should get focused on getting money jh G...huyo manzi Hadi mngeachana tu bado haunge marry that bitch any ways,1,2022-12-07T06:02:20Z
312,@ljlorens4833,Usitafute mbali enemy ako around tu hapo,0,2022-12-06T14:11:25Z
313,@mirrianmelanie9674,"Iano you are sooo cute, handsome, mature and bright in this situation consider yourself a winner.",10,2022-12-04T16:45:12Z
314,@beryljean01,Pluto amejam😂😂ati sasa umkule🥲,1,2022-12-04T13:34:25Z
315,@lekulesostenes4583,"Kenyan, mamorio humaanisha Nini? 
I wanna know please",1,2022-12-04T13:11:40Z
316,@eugeneokari9712,Nilikuwa nataka kukuambia Jana😂,4,2022-12-03T18:31:21Z
317,@lydiaolumasai1851,😂😂😂😂😂😂😂Dem ya beste  ndioo mtafuuu 🤣🤣🤣🤣🤣💔💔💔,0,2022-12-03T14:20:32Z
318,@dreadpooll,poko ni poko ata anapeanga wasee wengine acha huyo quavo,1,2022-12-02T03:11:09Z
319,@josephineosita6214,Good work guys .Iano is very mature.,2,2022-12-01T23:28:35Z
320,@mr_.portmore,mambo ni live,0,2022-12-01T21:30:32Z
321,@zenamaruti9521,Niko single pis 😍 come we mingle 😉,0,2022-12-01T05:22:55Z
322,@zenamaruti9521,Aki woiiiyeeeee pole,0,2022-12-01T05:21:09Z
323,@paulinekezia8014,Damn the yano is cute😍,0,2022-11-30T00:32:54Z
324,@langatedwin4474,Never trust anyone including yourself.sometimes you trust utanyamba silently then boom twiii,23,2022-11-29T04:05:52Z
325,@floragatwiri3063,"Aki huyo boy amechezwa si anisake nikuwe sponyie wake,naeza mueka akh",0,2022-11-26T18:41:10Z
326,@liliandavid7163,"Wooi Dem ata aez recognize sauti ya Chali yake,,,,What the f**k ,,,,,",0,2022-11-24T07:32:30Z
327,@kellyann6958,I feel his pain😭😭,4,2022-11-22T18:41:01Z
328,@melodytanui0780,Iano.....it's painful but you will be ok,0,2022-11-21T13:10:02Z
329,@rebeccah357,I like the maturity of that young boy,3,2022-11-20T20:24:33Z
330,@cynthiakemunto5694,He can't even admit to his mistakes nkt.,0,2022-11-20T13:48:09Z
331,@billyngatia9364,"I Fear The College Campus Students They are All About Money 
This Guy is very mature aki Hakuleta Vita",0,2022-11-20T09:38:39Z
332,@moseswamalwa3950,Huyu jamaa n Fala kwan ukikataa kwan atakurape,0,2022-11-16T22:48:12Z
333,@moseswamalwa3950,Walae huyo Terry n mwanasoka walae Anacheza kila team 🤣🤣🤣🤣iyano tafta dem mwingine achana na mabeshte kama quavo,0,2022-11-16T22:45:19Z
334,@selinakubo7984,Weeh Iano he is very mature and handsome yaani women uyo mwingine zii😂😂😂,0,2022-11-10T15:23:59Z
335,@annesilwe,"Kikulako ki kuoni mwako,kwanza watu wanaitwa mashemeji,cuzo na bestie ogapa",0,2022-11-10T10:25:02Z
336,@bontyjunior5343,So umkule🤣😥😥i can't imagine this its so painful,0,2022-11-09T15:19:51Z
337,@annemaina1201,"New member,,,,likes zikam za kunikaribisha🥳",2,2022-11-09T09:15:56Z
338,@victorkithinji8439,Manzi hiyo ni mbaya pluto,0,2022-11-08T19:44:16Z
339,@henry_Odiwuor,"Never trust ur friend na dwm wko,,madem ni wale wale",0,2022-11-08T14:01:51Z
340,@henry_Odiwuor,"THIS BULLSHIET, NEVER TRUST A LADY THAT MUCH,,,WAIGURU TEAM😂😂😂😂",0,2022-11-08T14:01:30Z
341,@blessed_steve,Ungekuwa ushamvaaa bila kubonga bro,0,2022-11-07T19:08:17Z
342,@johnmaina5382,"i love the way iano is matured but quevo is not a good bestie,anashinda akiekea dem ngori na ni wao wawli",0,2022-11-06T11:57:46Z
343,@KingKariuki,Pluto I need you to do a follow-up on these guys...many  people would love to know what happens after,18,2022-11-06T11:03:35Z
344,@KingKariuki,This is a classical story of how people can betray you...people are only Good when it's is easy...#coded,5,2022-11-06T10:47:06Z
345,@oceans3004,Huncho 😂😂😂😂😂😂😂,0,2022-11-06T05:38:58Z
346,@gundajr2883,Huyu sio rafiki ni umbwa,0,2022-11-05T21:43:08Z
347,@wanjiruwaweru1093,Take heart bro 💔💔💔,0,2022-11-05T20:47:48Z
348,@carolnash1908,He is now regretting his actions He is not ready to lose his friend aki mapenzi wewe,0,2022-11-05T17:58:54Z
349,@themehal6793,"Sasa hiyo Dem aliona nini kwa hii gaidi ingine 🤔,,,NEVER trust a living thing that was chose to go out and have lunch with a snake",0,2022-11-05T17:10:47Z
350,@verdict9516,Kikulacho kinguoni,0,2022-11-04T16:35:36Z
351,@impactministries8187,huyo jamaa ako na ujinga,0,2022-11-04T15:03:25Z
352,@bernardmbau2973,Manh jamaa ametokwa tu n mamuriu na madem hawaezi kusave pande zngne  utaloose alot kwa...,0,2022-11-03T20:10:50Z
353,@bernardmbau2973,Enyewe apo ajafanya poa kutoka bestee yke manziee,0,2022-11-03T20:08:51Z
354,@okichajunior7259,"Iano is a real man indeed, I really feel him, I can relate my history msee wa karibu kabisa alinitenda same to ivo ivo,ilibidi nimewaondokea roho safi tu",52,2022-11-03T19:46:56Z
355,@trent6694,"25th minute was the climax of the whole situweshen... when the other boy pulled the other to show moral support
#Brocode",27,2022-11-03T10:53:20Z
356,@krusher1230,Semeni tu iano ni mature ju hajatoa vita in this position niiteni mtoto juu  nayo vindevu nitamvurutia God knows 😭😭😭😭,0,2022-11-02T23:29:37Z
357,@benjaminmuhuyi8174,"Same thing same story,it happened to me the same way and was painful",1,2022-11-02T15:31:10Z
358,@brayanyyobrezz5973,Oyaa ni yyôbrêzz am breezy mnipee like za kwangu,0,2022-11-02T14:30:46Z
359,@harrikabucha,I like the maturity of this young man,60,2022-11-02T12:33:55Z
360,@sammymacha5159,"Walai same ting happened to me ,walai mabeste Wacha tu,hatari,morio.",0,2022-11-02T11:14:43Z
361,@jackyshee6839,Nmewatch mara kama kumi walai ianoh aki c u are handsome then lugha aki kinabonga poa,1,2022-11-02T06:41:50Z
362,@jackyshee6839,Lakini pia huyu chali mwenye amemkulia dem pia ako na point coz hakuna vile dem atakupea ukatae,1,2022-11-02T06:21:57Z
363,@jackyshee6839,"I don knw why bt ianoh ako on another level...cute,,handsome,,,na maturity wah..",3,2022-11-02T06:19:24Z
364,@kulolaa,Mabroh nikuambianaaaa banaaaa ......😂😂,0,2022-11-01T07:54:27Z
365,@kulolaa,😂😂😂😂Mabroo ni kuambiaaa ukwelii,0,2022-11-01T07:53:29Z
366,@rispermuchiri5544,Aki mpaka nimelia how can you do that really,0,2022-10-31T13:25:34Z
367,@Joramsnails,Yow lil bro ..iza mahn,0,2022-10-31T12:40:04Z
368,@lonewolfvee,A story i can relate very well!,7,2022-10-31T11:40:00Z
369,@faithndichu3218,"This Quavo guy is not even remorseful.... Kazi tu ni kupeana lame excuses ....Kusema tu vitu ata hazimake sense, ni morio wa aina gani uyu sasa ata weeeuh 😒😑",1,2022-10-30T14:00:13Z
370,@hullynick4992,Follow up plzzzzz,0,2022-10-30T08:45:12Z
371,@briankiprop7751,Commenting 3 weeks later 😅 huyu boys hakufanyiwa poa,0,2022-10-29T19:40:40Z
372,@michaelsancha2039,Quavo ni fala anakuliaje morio dem,0,2022-10-29T15:54:04Z
373,@joychepkoech723,Aki walai naskia kuhurumia huyu boi walai ata kama ama unaona ni mdogo aki walai😭😭😭😭,0,2022-10-28T14:45:18Z
374,@pioustrevol3468,"The Only thing Gurlz Put themselves in Trouble is All about their LUST, There is a life After this Age, Then You start complain life Is So tough, akati uliprefer DickHead Than Man IQ 🤩",0,2022-10-28T13:56:14Z
375,@oliviajemutai8631,waaah madem aki. i feel this guy,0,2022-10-28T08:08:47Z
376,@peakreativemedia1871,Na huyo beshte ako nje manze😂😂,1,2022-10-28T07:57:39Z
377,@thefootballzone7432,Bestie bestie chubwi😂,0,2022-10-27T14:21:59Z
378,@bennitozm4843,Am like utakuta besthe Ako ndio alikula dem Yako hii in real Sasa ndio hii,0,2022-10-27T13:09:51Z
379,@trey_e,this is soo fucked up walai 😆,0,2022-10-27T05:25:26Z
380,@akinyiclare3552,😂😂😂😂i swear venye uyo dem ameshika simu nimepause kucheka😂😂😂kwanza reaction ya Pluto😂😂naa hicho kicheko chake,0,2022-10-27T01:37:35Z
381,@florencekenn866,Nipewe number ya Iano tu....07????,0,2022-10-26T20:49:10Z
382,@vivella5712,"Hold on, hold on kiac😂😂😂....waaaah!!!",0,2022-10-26T20:07:08Z
383,@laveshlavio3033,Shiet happens meehn,0,2022-10-26T16:43:32Z
384,@philipmaundu2247,Pluto nimefeel mbaya aki the same situation happens to me reason why I don't trust friends nowadays,0,2022-10-26T14:29:19Z
385,@brendamwaura9226,"That part ati ""alikuwa anakam kwangu ananishow Iano hana time yake ako tu kwa books"" what kind of an excuse is that 🚮 you are with Ian everyday, you have his number....the f**k,,,, that is bullshit ,,,, anyways pia wwe utachezwa chini",0,2022-10-26T12:48:16Z
386,@Raphael-b4j,Nitawaambia Hadi lini friendship is a scam..ai,0,2022-10-26T09:20:37Z
387,@nancynerner7824,Nancy nlikua nimetulia tu🤣🤣🤣,2,2022-10-26T05:36:56Z
388,@mynamehappy5573,https://youtu.be/8CSHrny69Ts,0,2022-10-25T19:06:47Z
389,@fatumakwekwe801,Aww woiyee I feel  sorry for that boy mwambie I nampenda 🥺🥺🥺🥺,4,2022-10-25T14:38:44Z
390,@n3529.,"Majamaa ni wale wale tuu 😂😂💔,,",0,2022-10-25T14:10:50Z
391,@hurstingsmwangudzah5329,hio ndio luku Airforce za 1500🤣🤣,0,2022-10-25T09:33:21Z
392,@hurstingsmwangudzah5329,aii haiezi bana ubeste Gani wa kifala huu wakukula beste yako mwenye ata beste yako hajachana na huyo demu wake,0,2022-10-25T08:58:36Z
393,@BroNahashon,I feel it too broo... Yani gang wako mzima anadinyaa mama wa mine ...Nkt..It window will end over.. for sure.....,0,2022-10-25T08:33:47Z
394,@piankaadydancer6298,Kuku mweusi hakimbizwi gizani🤣🤣🤣🤣🤣,0,2022-10-24T18:32:59Z
395,@sheeraw202,I know the guys they're my neighbors 😂😂,0,2022-10-24T17:51:29Z
396,@gloriajepchumba4347,Iano take heart bro all shall be well ❤️‍🩹 ...leave them alone God will give you another beautiful soul,19,2022-10-24T17:24:03Z
397,@neemakenga914,Pluto ati ss umkule😂😂😂byther niuchungu,0,2022-10-24T15:48:49Z
398,@wambu001,I feel for Ianoh Aki mapenzi nowadays 🥺🥺🥺WTF uyu quivor ni fala angesho Arif yake walai...,0,2022-10-23T12:39:04Z
399,@sparkky254.,Woiye iano na venye his so composed...all will be well,2,2022-10-23T11:46:51Z
400,@gracejacqline3099,Huyo Terry ni mtu fcking sana,0,2022-10-23T09:18:19Z
401,@gracejacqline3099,Huyu anafaa kugonngwa,0,2022-10-23T09:14:39Z
402,@janemaina3306,😩💔 wooiye,0,2022-10-23T08:45:04Z
403,@olesapei5670,Vijana someni achaneni na mapenzi😂😂😂,0,2022-10-23T06:18:21Z
404,@kimlily11,So heartbreaking 😩😭I feel you iano you'll find ur person♥️♥️♥️,15,2022-10-23T00:17:43Z
405,@Mwanosutvke,Sooo painful 😥😥😥 chenye kilifanyika kivyangu,0,2022-10-22T13:03:56Z
406,@andyke3312,Hehehe ogopa bro🤣🤣🤣,0,2022-10-22T11:07:49Z
407,@nwooy.-,wueh iza bro,0,2022-10-22T09:18:47Z
408,@paulokemark7398,Hakuna number umeficha digit inaisha na 50,0,2022-10-22T01:12:22Z
409,@mercyrerimoi7220,Huyu jamaa hata sura inakataa thseme to Terry amempenda koz ya doh 😨 heri Iano,0,2022-10-21T22:42:14Z
410,@djskenjivibe2229,wueeeh,0,2022-10-21T21:28:19Z
411,@anitanganga742,So painful💔💔💔madem tupunguze ushenzi na ufala ka hudai msee no need ya kumuwaste 😭😭😭😭take it easy bro you will get you right partner🙏,11,2022-10-21T19:50:57Z
412,@niphaelngeno435,🔥🔥🔥,0,2022-10-21T14:04:41Z
413,@ri.ssskoe,Hata anashindwa kuongea nktt😏😏quevoo😏,0,2022-10-21T13:24:38Z
414,@catherinewanjiku3114,woie..iano akuje tuu anichukue .he seems to be good..,1,2022-10-21T13:24:22Z
415,@ri.ssskoe,Huyu quevo tu anyamaze😏nkttt,0,2022-10-21T13:20:46Z
416,@earnflowservice,Ka umerudia hii show mara ingine npe like😂,1,2022-10-21T12:56:44Z
417,@christinemasika2387,🙊🙊🙊🙊🙊🙊🙊🙊,0,2022-10-21T12:04:37Z
418,@Haustine3507,Very interesting!,0,2022-10-21T10:25:15Z
419,@DebbySzn,Walai na mwenye anakuliana hajaivaa😹😹,0,2022-10-21T09:01:46Z
420,@qeavo_wrld,Iano kimeumana..lkn usijali bro,0,2022-10-20T23:19:08Z
421,@franklinmurianki1002,Hardknocks life,0,2022-10-20T22:32:53Z
422,@MechEng-el2ju,"It hurts,,,best friend",0,2022-10-20T20:56:32Z
423,@themdeez1752,Woiye i feel for this guy aky its so hurting aky 💔💔si mnipee tu link ya this iano guy aky its so hurting i feel the pain aky 💯💯,1,2022-10-20T17:49:50Z
424,@mercyjelagat5944,Iano is even cute than this thing..,0,2022-10-20T15:30:36Z
425,@kibathij,Haikosi hadi huyo boy mwingine Amekuliwa mtu ...,0,2022-10-19T22:27:59Z
426,@mobland7863,Huyo dem atamcheza tu pia yeye huyo n mhanyaji tu atamuacha pia,0,2022-10-19T20:42:52Z
427,@joycemakori9512,Woow  my show  ever,0,2022-10-19T20:39:59Z
428,@oliviakemunto446,"So sad☹️,,, Iano💕💕",0,2022-10-19T08:46:40Z
429,@reganmurimi2513,Manze ulikosea usiwai kulia beshte dem. Hiyo ni mbaya,0,2022-10-19T08:05:58Z
430,@Dolby.YT01,lesson of the day love ni scum,0,2022-10-19T07:08:40Z
431,@evansomkaliyani1585,Y'all like talking sh**t yet you don't know how the situation even is if the friend ate his friend girl that means the boys are okay the chick is the problem🤟🏽,0,2022-10-19T06:54:46Z
432,@junenadine6512,This Ian guy is soooooo mature👍🏾🙏🏾,90,2022-10-19T06:15:21Z
433,@monvares,Lakini hakuna kitu painful kama kutokwa na mabro juu ya hoes,0,2022-10-18T23:55:20Z
434,@michaelabanga6363,Arafat kuchapwa hugo jamaa juu yeye nikufungua zip tuu na hajui kujicontrol.,0,2022-10-18T20:59:07Z
435,@Cynthiazion2,Na venye sio mcute 😏 iano is more handsome than him,0,2022-10-18T18:09:44Z
436,@brayanyyobrezz5973,Na uyo msee achange jina tafuta jina manze,0,2022-10-18T16:39:30Z
437,@vincentlangat6685,Huyo boy asikuwe cry baby pia awache ufala😂😂,0,2022-10-18T13:57:19Z
438,@vincentlangat6685,The streets 😂😂😂😂😂,0,2022-10-18T13:56:01Z
439,@davismutahi5668,Si pluto ungelamba huyu bestie makofi. Although literally bffs ends up fucking.,1,2022-10-18T13:49:32Z
440,@sharonchepngeno6036,The fact that he is cuter than the other dude😂💔💔,240,2022-10-18T13:48:45Z
441,@dorinengara3631,Inauma🤦 inauma lakini atazoea 🥺 take heart bro,1,2022-10-18T13:13:39Z
442,@marionmuturi5283,I've felt for this guy manze.i hope he heals aki🥺,18,2022-10-18T12:51:43Z
443,@gracewanjiku8520,Infact quavo anafaa apewe barre!!!! But morio wako seriously,2,2022-10-18T12:21:49Z
444,@futbalfutbal4683,wueh,0,2022-10-18T10:48:56Z
445,@futbalfutbal4683,Nakuruuuuuu😂😂😂,0,2022-10-18T10:32:25Z
446,@wanjiru7419,Sorry Ian God will send you your match you're amazing 🤩,3,2022-10-18T09:21:24Z
447,@MrMr-pt8qj,Ni poa heartbreak inakuja mapema. But quavo ni mtiaji bros before whores.,0,2022-10-18T04:07:05Z
448,@sheilachebet9554,😭😭😭😭😭woiii Pluto...,0,2022-10-17T22:33:10Z
449,@Theyhate.z,😂waaah skia vile huyo manzi ameongea vibaya🫠,1,2022-10-17T20:08:02Z
450,@bajazzfamily,Thee pluto why should someone you trust do such a thing to you...what would you do personally.. locked na mbogi yangu Qatar unatujengeanga siku sana# thee pluto show#hunch show#general izoh,0,2022-10-17T19:12:14Z
451,@samuelmuturi7731,ᴹᵃᶻᵉᵉ ˢⁱ ᵖᵒᵃ ᵘʸᵒ ᵇᵒʸᶻ ⁿⁱ ⁱⁿⁿᵒᶜᵉⁿᵗ ᵐᵃᶻᵉᵉ ᵏᵘᵏᵘˡⁱʷᵃ ᵐᵃᵐᵃᵃᶻ,1,2022-10-17T16:14:09Z
452,@tashlymar6128,Na vyenye uyo boi anakaa vibaya😩😩,1,2022-10-17T15:51:44Z
453,@briankalasho5521,"i know exactly what he feels,,,,,,,nlifanyiwa hivo hivo",1,2022-10-17T14:00:52Z
454,@marynyaga4911,"Young man you deserve better than the two foolish friends and you should not entertain them again. They deserve each other, for they’re like animals.",0,2022-10-17T10:37:56Z
455,@marynyaga4911,The Terry woman is mad and sick. Has no values and morals. She even has audacity to want to continue abusing both men. Sad,0,2022-10-17T10:27:47Z
456,@ruphaswanjama403,Dem wa beste is a no go zone bana quavo umechoma,0,2022-10-17T10:27:32Z
457,@goldensunshine8693,Never fight for nobody.......,1,2022-10-17T08:09:41Z
458,@learntechniques3397,Weuh this reminds me of something which happened to my heart some days back ....best friends are always poisonous to relationship...i will to remember one idiot forever😯,1,2022-10-17T07:46:16Z
459,@BrookeW-t9i,This is sad😢😢😢,0,2022-10-17T01:30:50Z
460,@faithwanjiku1466,🥺💔wooiye,0,2022-10-17T00:51:20Z
461,@stephenmucoki7429,Ile radi itapiga hyo dym...iko warm up inakam,0,2022-10-16T23:12:33Z
462,@innocentmbithi259,This is HARD for ALL parties. tbh.,0,2022-10-16T22:05:11Z
463,@innocentmbithi259,😂😂😂😂😂😂😂😂😂naishaaaaa,0,2022-10-16T22:02:10Z
464,@wanjirukingori4937,"Bro code wapiii
Watu ni manyoks huku nje",0,2022-10-16T20:09:01Z
465,@molokjepkoech4722,Aki it's so painful,0,2022-10-16T20:02:15Z
466,@kenmbugua4382,Madem wa theka noma sana🤣🤣🤣...iano umecheza ka man apo...likes zikam leo,1,2022-10-16T19:26:24Z
467,@millymilly7244,Naikuru naikuru,0,2022-10-16T18:47:17Z
468,@ivywangombe2106,"And that, ladies and gentlemen is how you lose friends.✌",3,2022-10-16T17:18:00Z
469,@esthermo.mwende7326,Kwani huyo manze ni blind na vile ianoh ameiva kuliko cjui huyu quiver whatever 🥺💔 aki mapezi wewe tuuu,1,2022-10-16T16:45:44Z
470,@zubeydaabdikarim,He is very handsome young man na dem ni wengi so he will get the right one,28,2022-10-16T15:47:02Z
471,@sylviawechuli7684,Woiye aki  I feel the pain,0,2022-10-16T15:25:11Z
472,@lucyndungu9388,"Iano asijaribu kurudiana na huyo dem,  she just a prostitute,  ...Hata huyo jamaaa Apelekeee huko...Aki nmemhurumia Iano...!!",0,2022-10-16T15:04:30Z
473,@kevoswitch8305,Quavo are u sure ni ukweli coz nakujua,0,2022-10-16T12:17:05Z
474,@Huncho_taitan_breezy,Iano he's so mature 👏,5,2022-10-16T10:10:48Z
475,@cocopebbles1139,"Thee Pluto find out what happened please,,,,",0,2022-10-16T07:09:03Z
476,@youngj6233,"Poor guy,,,sometimes shit happens",0,2022-10-16T06:45:10Z
477,@judithkerongo9447,inauma sana😢😢😢😢,0,2022-10-15T21:35:51Z
478,@dorothydoro4796,"Iano ur handsome,,u deserve better",1,2022-10-15T20:28:43Z
479,@djsheelah2543,Hamuelewi huyo chali quavoh.....mih namuelewa yoooh alishindwa kukujulia mali safi😂😂😂😂😂😂temptations murife Ruun,0,2022-10-15T19:18:59Z
480,@MR.MURAYA,Hii  ni mambo na age,0,2022-10-15T18:35:41Z
481,@catekate518,Waaa marafiki its better to  be open trust each other but sipoa,1,2022-10-15T15:29:30Z
482,@ayarobertson919,Good job Pluto for telling that Nigga what he did was wrong,1,2022-10-15T15:12:58Z
483,@melvinmirabel9284,Take it easy man!,5,2022-10-15T13:27:39Z
484,@edwardmuimi3792,Anamuonyesha meno ingekua mimi ni ngumi ya mdomo,2,2022-10-15T13:20:13Z
485,@marykanyo621,Siku yako itafika tuu,0,2022-10-15T10:54:56Z
486,@CharlyDanny002,Pluto nipee number ya Iano please,1,2022-10-15T10:18:28Z
487,@elizabethnjoki3057,Woiye🥹🥹,0,2022-10-15T10:03:08Z
