,author,text,likes,published_at
56,@liones-g2z,😂😂😂😂😂😂😂😂,0,2024-12-19T11:53:12Z
57,@AnyangoNabwa,Nakulia besteangu dem but  siko cormfortable,0,2024-12-06T14:01:29Z
58,@FunnyGuy-z8k,Ian i love you 😂😂😂😂,0,2024-12-02T12:23:05Z
59,@jacintaedukan8179,Girls 😂😂😂😂😂,0,2024-12-01T22:03:39Z
60,@jacintaedukan8179,Huyu jama wa dready ni baba twins❤️,0,2024-12-01T21:49:11Z
61,@jacintaedukan8179,Unagongewa na  si mlango,0,2024-12-01T21:48:05Z
62,@rarchaivan7598,Take heart Ianoh,0,2024-11-22T23:25:12Z
63,@LucyNyambura-r6h,"Iano vile ako cute😮,,,did you move on yet",0,2024-11-20T15:18:25Z
64,@kekxjnrcommedy9059,Aty ukifanyaje pluto,0,2024-11-19T19:34:59Z
65,@thomaskerama09,Waah iyano umefikiwa pia wewe,1,2024-11-19T09:58:25Z
66,@DianaNyaigoti,So heartbreaking😢💔💔,0,2024-11-19T07:33:47Z
67,@SelinaBonita1266,Woooiye akh iano come to me roho yangu ni kama holy spirit siwezi kuumiza,2,2024-11-18T16:27:21Z
68,@lavietash,Na anacheka ostrich na Sura Ka soli ya kiatu cockroach 🪳,0,2024-11-18T15:04:02Z
69,@quincyrotich-g3u,Kumbe kugongewa ni real🤣🤣,0,2024-11-16T19:34:18Z
70,@BoscoMurangiri,na venye anakaa maiti😂😂😂,0,2024-11-13T23:54:01Z
71,@ianotj4403,Acting imeingiana proper,0,2024-11-13T10:51:34Z
72,@MumbiTecla,Waah kill Manzi ya mtu bana,0,2024-11-12T17:51:42Z
73,@anthonymutuku1879,Kwani huyo dem hataki cute babies kwanini ana cheat na Francis atwoli,0,2024-10-30T16:24:14Z
74,@cathymathias3738,pluto hii story imeisha ajeee bhan nimeipata leo,0,2024-10-24T11:11:24Z
75,@faridpalmer6774,Alingongewa 😂🤭🤭🤭niko hapa 2024😂😂😂😂😂😂🤣🤣🤣,0,2024-10-22T01:56:18Z
76,@Calvohclixh,😢😢😢eeh iano izaah broh ..campo usi trust love broh ..focus to na life G...nafeel that pain broh,3,2024-10-02T21:30:41Z
77,@doberandu8115,Angenifanyia mm huyu hangewai fanyia mtu mwengine,0,2024-09-25T22:23:38Z
78,@SusanKituku,Ianoh you look cute.🥰🥰watching from MKU,1,2024-09-23T12:50:56Z
79,@Mariym8549,😢😂😂,0,2024-09-17T22:57:53Z
80,@Nelson-gd4bu,Hio si poa😂,0,2024-08-25T03:42:22Z
81,@WasakaWorld,"Bro delete the friend,anakupima akili😢",1,2024-08-24T20:41:09Z
82,@kalonzojoel8598,As a man hiii ni ufala ....me the way naheshimu my friends  i cant do this madeem ni weengi😭😭,0,2024-08-18T09:05:19Z
83,@sombavincent923,Lano is intelligent guavo you never helped lano na hio ni ujinga sana hukufanya poa,0,2024-08-16T07:46:09Z
84,@MariaMagele,Weeeeee!,0,2024-08-14T16:46:32Z
85,@Oscargenerally,"Ibraah big up too ""tuishie """,0,2024-08-11T22:07:27Z
86,@Oscargenerally,Huyu jamaa ni fala big up ianoo you are mature,0,2024-08-11T22:04:00Z
87,@puffray771,Usiwai mwaga machozi juu ya manzi kwanza piga sherehe mbayaaaar🔥🔥🔥🔥,0,2024-07-27T12:37:36Z
88,@happynkya9770,Na wee nenda kamlie demu wake ngoma droo,0,2024-07-25T10:46:25Z
89,@chief.sheriff,men please avoid thinking with your hidden head,0,2024-07-18T17:42:30Z
90,@geehub585,"Uyu gathee ako na Wana, haheshimu bro",0,2024-07-08T17:05:48Z
91,@gracekilonzo6727,The boy looks humble 😢,0,2024-07-05T18:49:53Z
92,@MonicahWanjiko-i9q,I love the boy ❤❤😢,0,2024-06-19T11:51:44Z
93,@SerenakaremboDzombo,Waaaaah si poa aki😢😢😢😢,0,2024-06-12T19:38:33Z
94,@geff1ngere853,"Close friends are demonds, it also happens to me.",0,2024-06-10T18:30:38Z
95,@tressyKanana-b6e,I love you Ian nko KU ❤,2,2024-06-01T06:39:26Z
96,@DenisKiriinya-dd2mq,maze bro code ilienda wapi😪,0,2024-05-14T19:22:12Z
97,@magawilizoyoo7914,Anaacha mtu na anaenda kwa kitu,0,2024-05-09T20:17:08Z
98,@moheradermz143,"Shemeji hapana ,shemeji hap ,shemeji hapa 😂😂 ni hvo ilianza",0,2024-05-03T20:55:31Z
99,@Harriet-j3f,😢😢,0,2024-04-27T10:33:21Z
