author,text,likes,published_at
@hirammwas756,😂😂😂😂😂😂😂we walai tena...,0,2025-08-06T12:19:20Z
@elijahgicheu,"0.5billion is not amount to joke around this amount can be spent in 27 years @50,000 daily hapo ametucheza.",1,2025-08-06T11:45:13Z
@harontallamkoskei9056,Uwaganis😅😅😅,0,2025-08-06T10:41:58Z
@DJ_AMOKIP254,@CAPTAINMORGAN pea mbogi wera🫵,0,2025-08-06T10:36:55Z
@HarrissonnHarrissonn,😅,0,2025-08-06T10:07:03Z
@VIGGY2011,THIS GUY IS OVERPROTECTIVE KWA DEE...WHATEVER IT TAKES... THEN KUTANA NA KARANGU NA KILEMBA KWA KICHWA...MWOKOVU MJINGA 😏😏😏😏😏MCHAWI WA ROHO...KAZI NI KU HUMILIATE HIS WIFE,0,2025-08-06T00:59:04Z
@righteous.one_1,"""hao si mbogi ni family ""❤CONFIDENCE IS KEY",0,2025-08-05T18:44:19Z
@priscaauma-c2r,From now iam going to talk less😂😂😂look how calm Diana is.,0,2025-08-05T15:52:29Z
@righteous.one_1,Submisivity ❤,0,2025-08-05T14:48:42Z
@MaryestherOwuor,"Truthfully someone like Patelo needs a calm & collected woman like Dee,Oga I love how you understood this couple & interviewed vile uliwaelewa 👏👏",0,2025-08-05T12:21:11Z
@puritychepchirchir4931,Hii ni kazi Gani anafanya coz wueh nikama ana earn pesa mingi saana😂,0,2025-08-05T10:45:21Z
@josephmaina-vm1lc,Obi I like this guy he has the point boggy siku zobo patelo Jo thanks for supporting the your✊✊✊,0,2025-08-05T08:40:49Z
@MartinGitau-q5y,"This is how niggaz get fucked..advertising unexplained ""wealth"" to niggaz in the hood expecting you're top shatta is vain.ukitataka kujua wee ni mwere kuja 4k_A1 ujue izo umevaa kwa shingo ni mabati",0,2025-08-05T06:17:32Z
@sandranjoki7967,Wako weird though😂,0,2025-08-04T22:56:57Z
@motherofone-c2n,500 million 😂😂😂,0,2025-08-04T16:51:16Z
@hawatei2876,"Weeuh obimna Leo Ume patikana 
Don’t dig into the question 😅😅😅",0,2025-08-04T14:30:34Z
@briankipchirchir4414,Brian pyress niko in.,1,2025-08-04T13:09:47Z
@andrewairo5680,Love the way Diana is humble has a wife...kumbe jadala pia upenda omena kaa mimi😂😂,0,2025-08-04T12:48:57Z
@Lizp2580,"Ooh my God,,,I know this lady dee..I once worked for her na akakataa na pesa yangu... Anyway acha nisichome",0,2025-08-04T11:33:08Z
@johnkyalo2734,Nani anataka tulikiane video,0,2025-08-04T10:54:40Z
